t;alpha;omega
81.5;0.313858;-6.73759e-07
81.6;0.313858;2.32489e-07
81.7;0.313858;1.11061e-06
81.8;0.313858;1.94635e-06
81.9;0.313858;2.72656e-06
82;0.313858;3.43941e-06
82.1;0.313859;4.07452e-06
82.2;0.313859;4.6231e-06
82.3;0.31386;5.07809e-06
82.4;0.31386;5.43423e-06
82.5;0.313861;5.68805e-06
82.6;0.313861;5.83796e-06
82.7;0.313862;5.88417e-06
82.8;0.313863;5.82864e-06
82.9;0.313863;5.67505e-06
83;0.313864;5.42862e-06
83.1;0.313864;5.09604e-06
83.2;0.313865;4.6853e-06
83.3;0.313865;4.20548e-06
83.4;0.313866;3.66662e-06
83.5;0.313866;3.07951e-06
83.6;0.313866;2.45545e-06
83.7;0.313866;1.80609e-06
83.8;0.313867;1.14319e-06
83.9;0.313867;4.78442e-07
84;0.313867;-1.76757e-07
84.1;0.313867;-8.1147e-07
84.2;0.313866;-1.4154e-06
84.3;0.313866;-1.97906e-06
84.4;0.313866;-2.49389e-06
84.5;0.313866;-2.9524e-06
84.6;0.313865;-3.34827e-06
84.7;0.313865;-3.67639e-06
84.8;0.313865;-3.93298e-06
84.9;0.313864;-4.11555e-06
85;0.313864;-4.22296e-06
85.1;0.313864;-4.25538e-06
85.2;0.313863;-4.21426e-06
85.3;0.313863;-4.10226e-06
85.4;0.313862;-3.92318e-06
85.5;0.313862;-3.68187e-06
85.6;0.313862;-3.3841e-06
85.7;0.313861;-3.03648e-06
85.8;0.313861;-2.64626e-06
85.9;0.313861;-2.22125e-06
86;0.31386;-1.76963e-06
86.1;0.31386;-1.29982e-06
86.2;0.31386;-8.20343e-07
86.3;0.31386;-3.39634e-07
86.4;0.31386;1.34061e-07
86.5;0.31386;5.92838e-07
86.6;0.31386;1.02926e-06
86.7;0.31386;1.43647e-06
86.8;0.313861;1.80828e-06
86.9;0.313861;2.13931e-06
87;0.313861;2.42496e-06
87.1;0.313861;2.66159e-06
87.2;0.313862;2.84645e-06
87.3;0.313862;2.97776e-06
87.4;0.313862;3.05472e-06
